participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,english_first_language,country_of_birth
60fdff45f8064acbac9fbd3c,size,2,bottom_left,2,No,circulo,2023-05-11 12:35:37,Sí,México
60fdff45f8064acbac9fbd3c,size,1,bottom_right,3,Yes,triangulo pequeño,2023-05-11 12:35:37,Sí,México
6168432c5662ef2b142ec095,size,4,bottom_left,0,No,Rombo,2023-05-11 12:36:45,Sí,México
6168432c5662ef2b142ec095,size,2,bottom_right,1,Yes,Circulo,2023-05-11 12:36:45,Sí,México
6168432c5662ef2b142ec095,size,1,top_right,2,No,Corazón ,2023-05-11 12:36:45,Sí,México
6168432c5662ef2b142ec095,size,3,top_left,3,Yes,Cuadrado ,2023-05-11 12:36:45,Sí,México
614b6e4a03ded5acfe2ef9b0,size,1,top_left,0,Yes,corazon,2023-05-11 12:37:25,Sí,México
614b6e4a03ded5acfe2ef9b0,size,3,bottom_left,1,No,cruz,2023-05-11 12:37:25,Sí,México
614b6e4a03ded5acfe2ef9b0,size,4,bottom_right,2,Yes,rombo,2023-05-11 12:37:25,Sí,México
614b6e4a03ded5acfe2ef9b0,size,2,top_right,3,No,rectangulo,2023-05-11 12:37:25,Sí,México
5f2e09dd8b86e315a3525087,size,2,bottom_left,0,No,Círculo ,2023-05-11 12:38:48,Sí,México
5f2e09dd8b86e315a3525087,size,3,top_left,1,Yes,Cuadrado ,2023-05-11 12:38:48,Sí,México
5f2e09dd8b86e315a3525087,size,4,top_right,2,No,Estrella ,2023-05-11 12:38:48,Sí,México
5f2e09dd8b86e315a3525087,size,1,bottom_right,3,Yes,Triangulo ,2023-05-11 12:38:48,Sí,México
61400425790ab5dbef568393,size,3,top_left,0,Yes,Cuadrado,2023-05-11 12:39:47,Sí,México
61400425790ab5dbef568393,size,2,bottom_left,1,No,Más grande ,2023-05-11 12:39:47,Sí,México
61400425790ab5dbef568393,size,4,top_right,2,No,Estrella ,2023-05-11 12:39:47,Sí,México
61400425790ab5dbef568393,size,1,bottom_right,3,Yes,Triángulo ,2023-05-11 12:39:47,Sí,México
6092f21eb483692c6ea09303,size,4,top_left,0,Yes,Estrella de 5 picos,2023-05-11 12:40:05,Sí,México
6092f21eb483692c6ea09303,size,2,bottom_left,1,No,Círculo,2023-05-11 12:40:05,Sí,México
6092f21eb483692c6ea09303,size,1,bottom_right,2,Yes,Tríangulo,2023-05-11 12:40:05,Sí,México
6092f21eb483692c6ea09303,size,3,top_right,3,No,Cuadrado,2023-05-11 12:40:05,Sí,México
5ff265688f62107122f931f2,size,4,top_right,0,No,Es una estrella grande negra con cinco picos,2023-05-11 12:40:18,Sí,México
5ff265688f62107122f931f2,size,3,bottom_right,1,Yes,Eres una Cruz negra pequeña,2023-05-11 12:40:18,Sí,México
5ff265688f62107122f931f2,size,2,bottom_left,2,No,Es un círculo grande negro,2023-05-11 12:40:18,Sí,México
5ff265688f62107122f931f2,size,1,top_left,3,Yes,Es un corazoncito negro,2023-05-11 12:40:18,Sí,México
5d366eba9749cc00185c21fb,size,1,top_left,0,Yes,corazón ,2023-05-11 12:40:42,Sí,México
5d366eba9749cc00185c21fb,size,4,top_right,1,No,estrella,2023-05-11 12:40:42,Sí,México
5d366eba9749cc00185c21fb,size,2,bottom_right,2,Yes,circulo ,2023-05-11 12:40:42,Sí,México
5d366eba9749cc00185c21fb,size,3,bottom_left,3,No,signo de más,2023-05-11 12:40:42,Sí,México
613bb769316b7da1020ebeb8,size,2,top_left,0,Yes,rectángulo,2023-05-11 12:43:19,Sí,México
613bb769316b7da1020ebeb8,size,1,bottom_right,1,Yes,triangulo ,2023-05-11 12:43:19,Sí,México
613bb769316b7da1020ebeb8,size,3,top_right,2,No,cuadrado,2023-05-11 12:43:19,Sí,México
613bb769316b7da1020ebeb8,size,4,bottom_left,3,No,rombo,2023-05-11 12:43:19,Sí,México
5f236a8268241d13568e4de0,size,2,bottom_left,0,No,Círculo ,2023-05-11 12:44:24,Sí,México
5f236a8268241d13568e4de0,size,3,top_right,1,No,Cuadrado,2023-05-11 12:44:24,Sí,México
5f236a8268241d13568e4de0,size,1,top_left,2,Yes,Corazón,2023-05-11 12:44:24,Sí,México
5f236a8268241d13568e4de0,size,4,bottom_right,3,Yes,Diamante,2023-05-11 12:44:24,Sí,México
5edeef385ae5f81a082be62a,size,2,top_right,0,No,rectángulo,2023-05-11 12:46:21,Sí,México
5edeef385ae5f81a082be62a,size,3,bottom_left,1,No,cruz,2023-05-11 12:46:21,Sí,México
5edeef385ae5f81a082be62a,size,4,bottom_right,2,Yes,rombo,2023-05-11 12:46:21,Sí,México
5edeef385ae5f81a082be62a,size,1,top_left,3,Yes,corazón,2023-05-11 12:46:21,Sí,México
614e4293cc2629b9b02953b9,size,3,top_left,0,Yes,Cuadrado ,2023-05-11 12:46:34,Sí,México
614e4293cc2629b9b02953b9,size,1,bottom_right,1,Yes,Triangulo ,2023-05-11 12:46:34,Sí,México
614e4293cc2629b9b02953b9,size,4,bottom_left,2,No,Rombo,2023-05-11 12:46:34,Sí,México
614e4293cc2629b9b02953b9,size,2,top_right,3,No,Rectángulo,2023-05-11 12:46:34,Sí,México
613a80cc61f7aa5309b8acb3,size,2,top_left,0,Yes,Rectángulo,2023-05-11 12:46:35,Sí,México
613a80cc61f7aa5309b8acb3,size,1,bottom_right,1,Yes,Triángulo ,2023-05-11 12:46:35,Sí,México
613a80cc61f7aa5309b8acb3,size,3,top_right,2,No,Cuadrado,2023-05-11 12:46:35,Sí,México
613a80cc61f7aa5309b8acb3,size,4,bottom_left,3,No,Rombo,2023-05-11 12:46:35,Sí,México
613bbe37bb5e6fa81c182308,size,3,bottom_right,0,Yes,Cruz negra pequeña,2023-05-11 12:48:00,Sí,México
613bbe37bb5e6fa81c182308,size,1,top_left,1,Yes,Corazón negro pequeño,2023-05-11 12:48:00,Sí,México
613bbe37bb5e6fa81c182308,size,2,bottom_left,2,No,Círculo negro grande,2023-05-11 12:48:00,Sí,México
613bbe37bb5e6fa81c182308,size,4,top_right,3,No,Estrella negra grande,2023-05-11 12:48:00,Sí,México
5d9a74f72aae4c031a29af9b,size,1,top_right,0,No,Corazon,2023-05-11 12:49:21,Sí,México
5d9a74f72aae4c031a29af9b,size,2,bottom_right,1,Yes,Circulo,2023-05-11 12:49:21,Sí,México
5d9a74f72aae4c031a29af9b,size,3,top_left,2,Yes,Cuadrado,2023-05-11 12:49:21,Sí,México
5d9a74f72aae4c031a29af9b,size,4,bottom_left,3,No,Rombo,2023-05-11 12:49:21,Sí,México
610b0e8c8cd09a0c933773e6,size,3,bottom_left,0,No,Cruz,2023-05-11 12:49:37,Sí,México
610b0e8c8cd09a0c933773e6,size,2,top_left,1,Yes,Rectángulo ,2023-05-11 12:49:37,Sí,México
610b0e8c8cd09a0c933773e6,size,1,bottom_right,2,Yes,Triángulo ,2023-05-11 12:49:37,Sí,México
610b0e8c8cd09a0c933773e6,size,4,top_right,3,No,Estrella,2023-05-11 12:49:37,Sí,México
5b146e7bc85dc40001624518,size,3,bottom_left,0,No,Cruz,2023-05-11 12:50:11,Sí,México
5b146e7bc85dc40001624518,size,1,top_left,1,Yes,Corazón ,2023-05-11 12:50:11,Sí,México
5b146e7bc85dc40001624518,size,4,bottom_right,2,Yes,Rombo,2023-05-11 12:50:11,Sí,México
5b146e7bc85dc40001624518,size,2,top_right,3,No,Rectángulo ,2023-05-11 12:50:11,Sí,México
5adf7fbc09eae200011305a5,size,3,top_left,0,Yes,Cuadrado,2023-05-11 12:51:00,Sí,México
5adf7fbc09eae200011305a5,size,1,top_right,1,No,Corazon,2023-05-11 12:51:00,Sí,México
5adf7fbc09eae200011305a5,size,2,bottom_right,2,Yes,Circulo,2023-05-11 12:51:00,Sí,México
5adf7fbc09eae200011305a5,size,4,bottom_left,3,No,Rombo,2023-05-11 12:51:00,Sí,México
60f49505c949c2feff3db2d7,size,3,top_left,0,Yes,cuadrado ,2023-05-11 12:51:56,Sí,México
60f49505c949c2feff3db2d7,size,1,bottom_left,1,No,triángulo ,2023-05-11 12:51:56,Sí,México
60f49505c949c2feff3db2d7,size,4,bottom_right,2,Yes,rombo ,2023-05-11 12:51:56,Sí,México
60f49505c949c2feff3db2d7,size,2,top_right,3,No,rectángulo ,2023-05-11 12:51:56,Sí,México
6169e8a8311d269013eb73c7,size,1,bottom_left,0,No,triangulo,2023-05-11 12:52:11,Sí,México
6169e8a8311d269013eb73c7,size,3,bottom_right,1,Yes,cruz,2023-05-11 12:52:11,Sí,México
6169e8a8311d269013eb73c7,size,4,top_right,2,No,estrella,2023-05-11 12:52:11,Sí,México
6169e8a8311d269013eb73c7,size,2,top_left,3,Yes,guion ,2023-05-11 12:52:11,Sí,México
5e792d23c826500d4c0ccec0,size,3,bottom_right,0,Yes,Mas,2023-05-11 12:52:51,Sí,México
5e792d23c826500d4c0ccec0,size,2,top_right,1,No,Rectangulo,2023-05-11 12:52:51,Sí,México
5e792d23c826500d4c0ccec0,size,1,bottom_left,2,No,Triangulo,2023-05-11 12:52:51,Sí,México
5e792d23c826500d4c0ccec0,size,4,top_left,3,Yes,Estrella,2023-05-11 12:52:51,Sí,México
60b00d27ceea5b0580570cf6,size,4,top_left,0,Yes,Estrella,2023-05-11 12:53:29,Sí,México
60b00d27ceea5b0580570cf6,size,2,bottom_left,1,No,Círculo,2023-05-11 12:53:29,Sí,México
60b00d27ceea5b0580570cf6,size,3,bottom_right,2,Yes,Cruz,2023-05-11 12:53:29,Sí,México
60b00d27ceea5b0580570cf6,size,1,top_right,3,No,Corazón,2023-05-11 12:53:29,Sí,México
5a9aa8554eecca0001dd7fdc,size,2,top_right,0,No,rectángulo,2023-05-11 12:53:30,Sí,México
5a9aa8554eecca0001dd7fdc,size,3,top_left,1,Yes,cuadrado,2023-05-11 12:53:30,Sí,México
5a9aa8554eecca0001dd7fdc,size,1,bottom_left,2,No,triángulo,2023-05-11 12:53:30,Sí,México
5a9aa8554eecca0001dd7fdc,size,4,bottom_right,3,Yes,rombo,2023-05-11 12:53:30,Sí,México
614e843c2bb21b4527d39d0d,size,4,bottom_left,0,No,Rombo,2023-05-11 12:54:06,Sí,México
614e843c2bb21b4527d39d0d,size,3,top_left,1,Yes,Cuadrado Pequeño ,2023-05-11 12:54:06,Sí,México
614e843c2bb21b4527d39d0d,size,1,bottom_right,2,Yes,Triángulo Pequeño ,2023-05-11 12:54:06,Sí,México
614e843c2bb21b4527d39d0d,size,2,top_right,3,No,Rectángulo ,2023-05-11 12:54:06,Sí,México
5bc2b61583de340001bf830f,size,3,top_right,0,No,Cuadro,2023-05-11 12:54:26,Sí,México
5bc2b61583de340001bf830f,size,1,bottom_right,1,Yes,Triangulo,2023-05-11 12:54:26,Sí,México
5bc2b61583de340001bf830f,size,4,bottom_left,2,No,Rombo,2023-05-11 12:54:26,Sí,México
5bc2b61583de340001bf830f,size,2,top_left,3,Yes,Rectángulo,2023-05-11 12:54:26,Sí,México
5b9858a3fe82f50001caef03,size,2,top_left,0,Yes,Rectángulo pequeño ,2023-05-11 12:54:34,Sí,México
5b9858a3fe82f50001caef03,size,1,top_right,1,No,Corazón grande ,2023-05-11 12:54:34,Sí,México
5b9858a3fe82f50001caef03,size,4,bottom_left,2,No,Rombo grane,2023-05-11 12:54:34,Sí,México
5b9858a3fe82f50001caef03,size,3,bottom_right,3,Yes,Cruz pequeña ,2023-05-11 12:54:34,Sí,México
614cce1a0dcaa6b078d3d5a7,size,3,top_left,0,Yes,Cuadrado,2023-05-11 12:55:18,Sí,México
614cce1a0dcaa6b078d3d5a7,size,2,bottom_left,1,No,Circulo,2023-05-11 12:55:18,Sí,México
614cce1a0dcaa6b078d3d5a7,size,1,bottom_right,2,Yes,Triángulo,2023-05-11 12:55:18,Sí,México
614cce1a0dcaa6b078d3d5a7,size,4,top_right,3,No,Estrella,2023-05-11 12:55:18,Sí,México
5ee95917bdb5522f9ee95e4f,size,4,bottom_left,0,No,Rombo,2023-05-11 12:55:38,Sí,México
5ee95917bdb5522f9ee95e4f,size,2,bottom_right,1,Yes,Círculo,2023-05-11 12:55:38,Sí,México
5ee95917bdb5522f9ee95e4f,size,1,top_left,2,Yes,Corazón,2023-05-11 12:55:38,Sí,México
5ee95917bdb5522f9ee95e4f,size,3,top_right,3,No,Cuadrado,2023-05-11 12:55:38,Sí,México
5fefcbb9bbdf7f348f598fa6,size,1,bottom_left,0,No,Tres caras,2023-05-11 12:55:43,Sí,México
5fefcbb9bbdf7f348f598fa6,size,3,bottom_right,1,Yes,Suma,2023-05-11 12:55:43,Sí,México
5fefcbb9bbdf7f348f598fa6,size,2,top_left,2,Yes,Resta,2023-05-11 12:55:43,Sí,México
5fefcbb9bbdf7f348f598fa6,size,4,top_right,3,No,Estrella,2023-05-11 12:55:43,Sí,México
610196bd5cf1346341fbaf3f,size,3,bottom_left,0,No,Cruz,2023-05-11 12:55:47,Sí,México
610196bd5cf1346341fbaf3f,size,1,top_right,1,No,Corazón,2023-05-11 12:55:47,Sí,México
610196bd5cf1346341fbaf3f,size,2,top_left,2,Yes,Rectángulo,2023-05-11 12:55:47,Sí,México
610196bd5cf1346341fbaf3f,size,4,bottom_right,3,Yes,Diamante,2023-05-11 12:55:47,Sí,México
5c465ffdf608210001a4d536 ,size,2,bottom_right,0,Yes,Circulo,2023-05-11 12:56:30,Sí,Sudamérica
5c465ffdf608210001a4d536 ,size,3,top_left,1,Yes,Cuadrado ,2023-05-11 12:56:30,Sí,Sudamérica
5c465ffdf608210001a4d536 ,size,1,top_right,2,No,Corazon,2023-05-11 12:56:30,Sí,Sudamérica
5c465ffdf608210001a4d536 ,size,4,bottom_left,3,No,Rombo,2023-05-11 12:56:30,Sí,Sudamérica
5f9754d58d86ac10c2068b90,size,2,bottom_right,0,Yes,Circunferencia de tamaño mediano,2023-05-11 12:57:23,Sí,México
5f9754d58d86ac10c2068b90,size,4,top_left,1,Yes,estrella pequeña de cinco picos,2023-05-11 12:57:23,Sí,México
5f9754d58d86ac10c2068b90,size,1,top_right,2,No,corazón grande ,2023-05-11 12:57:23,Sí,México
5f9754d58d86ac10c2068b90,size,3,bottom_left,3,No,cruz ,2023-05-11 12:57:23,Sí,México
606951b5108e90bb25006ce6,size,3,top_right,0,No,Cuadrado ,2023-05-11 12:57:33,Sí,México
606951b5108e90bb25006ce6,size,4,top_left,1,Yes,Estrella,2023-05-11 12:57:33,Sí,México
606951b5108e90bb25006ce6,size,1,bottom_left,2,No,Triangulo,2023-05-11 12:57:33,Sí,México
606951b5108e90bb25006ce6,size,2,bottom_right,3,Yes,Circulo ,2023-05-11 12:57:33,Sí,México
5fc86c1b2df6ff1ff7a51ea5,size,2,top_right,0,No,rectángulo,2023-05-11 12:57:36,Sí,México
5fc86c1b2df6ff1ff7a51ea5,size,3,bottom_left,1,No,cruz,2023-05-11 12:57:36,Sí,México
5fc86c1b2df6ff1ff7a51ea5,size,4,bottom_right,2,Yes,rombo,2023-05-11 12:57:36,Sí,México
5fc86c1b2df6ff1ff7a51ea5,size,1,top_left,3,Yes,corazon,2023-05-11 12:57:36,Sí,México
613a972033d79df11a6570de,size,3,bottom_left,0,No,cruz,2023-05-11 12:57:47,Sí,México
613a972033d79df11a6570de,size,4,top_right,1,No,estrella,2023-05-11 12:57:47,Sí,México
613a972033d79df11a6570de,size,1,top_left,2,Yes,corazón,2023-05-11 12:57:47,Sí,México
613a972033d79df11a6570de,size,2,bottom_right,3,Yes,círculo,2023-05-11 12:57:47,Sí,México
60fee0ce4f29ce84e8be327d,size,3,top_left,0,Yes,Cuadrado ,2023-05-11 12:57:59,Sí,México
60fee0ce4f29ce84e8be327d,size,2,bottom_left,1,No,Círculo ,2023-05-11 12:57:59,Sí,México
60fee0ce4f29ce84e8be327d,size,4,top_right,2,No,Estrella ,2023-05-11 12:57:59,Sí,México
60fee0ce4f29ce84e8be327d,size,1,bottom_right,3,Yes,Triángulo ,2023-05-11 12:57:59,Sí,México
613a9700bf01a93d7008c3f7,size,4,bottom_left,0,No,rombo,2023-05-11 12:58:29,Sí,México
613a9700bf01a93d7008c3f7,size,2,top_right,1,No,rectángulo,2023-05-11 12:58:29,Sí,México
613a9700bf01a93d7008c3f7,size,1,top_left,2,Yes,corazón,2023-05-11 12:58:29,Sí,México
613a9700bf01a93d7008c3f7,size,3,bottom_right,3,Yes,cruz,2023-05-11 12:58:29,Sí,México
598c2748e339120001fb8875,size,1,bottom_right,0,Yes,triángulo chico,2023-05-11 13:00:07,Sí,México
598c2748e339120001fb8875,size,4,top_right,1,No,Estrella grande,2023-05-11 13:00:07,Sí,México
598c2748e339120001fb8875,size,3,top_left,2,Yes,Cuadrado chico,2023-05-11 13:00:07,Sí,México
598c2748e339120001fb8875,size,2,bottom_left,3,No,Círculo grande,2023-05-11 13:00:07,Sí,México
